style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
bright,step-00-baseline,0,loadMs,473.6500,447.0000,514.0000,346.4000,583.7250,270,
bright,step-00-baseline,0,fps,622.3738,612.4621,679.9118,542.6728,908.3017,270,
bright,step-01-simplify_unary,1,loadMs,467.9500,445.7000,521.7000,339.8000,589.5750,270,0.162444
bright,step-01-simplify_unary,1,fps,620.2460,606.4609,673.0776,541.8543,907.7696,270,0.098238
bright,step-04-constant_fold_stats,4,loadMs,466.7500,446.8000,508.8000,337.4500,576.7000,270,5.35973e-09
bright,step-04-constant_fold_stats,4,fps,623.1393,610.1827,664.4909,550.0207,897.6320,270,0.514326
bright,step-05-simplify_expressions,5,loadMs,524.8500,482.8500,588.2000,341.1750,658.4750,270,5.03402e-30
bright,step-05-simplify_expressions,5,fps,618.5838,608.9863,676.0576,537.8284,947.8184,270,0.355557
bright,step-06-strip_defaults,6,loadMs,530.2500,488.2500,593.2500,342.2000,658.9250,270,8.67139e-32
bright,step-06-strip_defaults,6,fps,622.1269,614.0888,694.0296,537.9489,939.5967,270,0.0802513
bright,step-07-minify_colors,7,loadMs,510.8000,481.7500,587.4000,341.5750,659.2000,270,5.24541e-32
bright,step-07-minify_colors,7,fps,621.3417,614.6616,696.3482,532.9336,944.8184,270,0.0482639
bright,step-15-layer_merge,15,loadMs,524.8000,490.9500,590.7000,343.2250,658.9000,270,1.02289e-34
bright,step-15-layer_merge,15,fps,631.5778,612.8188,694.6799,537.1436,955.2237,270,0.00503049
bright,step-16-selectivity_reorder,16,loadMs,525.9000,483.7000,579.1000,342.3500,651.0500,270,1.69205e-33
bright,step-16-selectivity_reorder,16,fps,622.1150,611.3528,695.5159,532.5502,953.0298,270,0.00485116
bright,step-17-tile_shave_only,17,loadMs,138.3000,137.2000,139.4000,134.2500,146.9500,270,1.33052e-40
bright,step-17-tile_shave_only,17,fps,1580.2402,1535.0026,1593.7024,1407.3759,1997.6084,270,5.16209e-45
bright,step-18-tile_shave,18,loadMs,136.3000,135.5500,137.3500,133.1000,142.8500,270,5.46412e-38
bright,step-18-tile_shave,18,fps,1591.9845,1555.6232,1616.3083,1422.4063,2009.7110,270,3.24821e-45
bright,step-19-tile_rewrite,19,loadMs,135.9000,135.1000,136.5000,132.6000,140.1000,254,5.68349e-84
bright,step-19-tile_rewrite,19,fps,1613.7512,1603.6283,1627.2121,1547.2994,2015.7026,254,5.08505e-77
dark-matter,step-00-baseline,0,loadMs,362.5500,341.5000,373.5500,274.0000,411.2250,270,
dark-matter,step-00-baseline,0,fps,1022.2040,887.8308,1116.6982,809.5384,1190.8773,270,
dark-matter,step-01-simplify_unary,1,loadMs,363.3000,340.0500,373.2500,275.3500,408.5750,270,0.879575
dark-matter,step-01-simplify_unary,1,fps,1026.2578,868.3601,1121.1001,804.1148,1186.4115,270,0.366197
dark-matter,step-03-constant_fold,3,loadMs,351.4000,332.5500,366.4000,274.4000,391.8500,270,1.20156e-12
dark-matter,step-03-constant_fold,3,fps,1027.7886,871.1930,1111.3659,803.4250,1174.9593,270,4.27341e-05
dark-matter,step-04-constant_fold_stats,4,loadMs,352.4000,336.6000,363.7500,272.9500,402.6000,270,3.22495e-13
dark-matter,step-04-constant_fold_stats,4,fps,973.8150,871.8366,1117.1716,804.3992,1175.1493,270,2.64341e-07
dark-matter,step-05-simplify_expressions,5,loadMs,354.6500,336.8500,368.7500,271.8750,398.7750,270,7.70973e-13
