style_id,style_title,original_bytes,optimized_bytes,reduction_pct,original_gzip_bytes,optimized_gzip_bytes,gzip_reduction_pct,original_brotli_bytes,optimized_brotli_bytes,brotli_reduction_pct,original_layer_count,optimized_layer_count,layer_reduction_pct,original_ast_nodes,optimized_ast_nodes,ast_reduction_pct,original_max_depth,optimized_max_depth,original_filter_count,optimized_filter_count
locationiq-streets,LocationIQ Streets,127889,41253,67.7431,5531,4294,22.3649,4448,3692,16.9964,119,112,5.8824,277,562,-102.8881,3,5,84,77
americana,Americana,1103650,450242,59.2043,31514,25535,18.9725,10927,10687,2.1964,353,350,0.8499,48510,18341,62.1913,17,17,349,346
maptiler-toner-gl-style,Toner,31608,13435,57.4949,2741,2330,14.9945,2367,2038,13.8995,37,27,27.0270,91,336,-269.2308,2,5,34,24
positron,Positron,32736,20232,38.1965,3014,2647,12.1765,2610,2310,11.4943,50,47,6.0000,198,267,-34.8485,3,4,48,45
dark-matter,Dark Matter,29642,18894,36.2594,2920,2620,10.2740,2540,2290,9.8425,47,45,4.2553,170,242,-42.3529,3,4,46,44
osm-bright,OSM Bright,74188,49762,32.9245,5167,4544,12.0573,4509,3971,11.9317,128,119,7.0312,474,868,-83.1224,3,4,125,116
maptiler-basic-gl-style,MapTiler Basic,23277,15966,31.4087,2637,2533,3.9439,2307,2259,2.0806,48,37,22.9167,146,452,-209.5890,2,5,46,35
osm-liberty,OSM Liberty,48300,33675,30.2795,4067,3570,12.2203,3558,3140,11.7482,105,100,4.7619,336,571,-69.9405,2,4,99,94
versatiles-colorful,Versatiles Colorful,151692,114549,24.4858,8819,7982,9.4909,6796,6751,0.6622,309,260,15.8576,1139,2642,-131.9579,2,5,303,254
0-empty-style,Empty Style,197,153,22.3350,158,140,11.3924,133,117,12.0301,0,0,0.0000,0,0,0.0000,0,0,0,0
aws-standard,AWS Standard,143294,128055,10.6348,13436,12822,4.5698,10930,10589,3.1199,160,159,0.6250,4676,4419,5.4962,7,7,159,158
aws-hybrid,AWS Hybrid,122022,109088,10.5997,11802,11099,5.9566,9700,9354,3.5670,125,125,0.0000,3795,3607,4.9539,7,7,123,123
stadia-outdoors,Stadia Outdoors,43208,41837,3.1730,4410,4227,4.1497,3822,3704,3.0874,110,105,4.5455,562,831,-47.8648,5,5,105,100
