step,pass,deltaRaw,deltaGzip,deltaBrotli,deltaLoad,deltaLayers,dagger
1,Unary simplification,0.0,0.1,-0.9,-1.5,0,0
2,Kind normalisation,0.0,0.0,0.0,0.0,0,0
3,Constant folding,-1.1,-0.9,-0.8,0.0,0,0
4,Stats-driven folding,-1.6,-0.7,-0.6,-0.1,0,0
5,Expression simplification,-1.3,-0.8,-0.5,0.3,0,0
6,Default stripping,-4.4,-3.2,-3.1,-0.3,0,0
7,Colour minification,-1.1,-1.9,-1.1,-0.2,0,0
8,Metadata stripping,-1.4,-2.8,-2.4,0.0,0,0
9,Dead elimination,-0.6,-0.4,-0.5,0.0,0,0
10,Dead elimination (stats),0.0,0.0,0.0,0.0,0,0
11,Metadata refinement,0.0,0.0,0.0,0.0,0,0
12,Paint-based refinement,0.0,0.1,0.0,0.0,0,0
13,Stats-driven refinement,1.5,0.0,-0.3,0.0,0,0
14,Cleanup,-0.1,-0.1,-0.2,-0.2,0,0
15,Layer merging,-0.1,0.7,0.7,0.2,-1,0
16,Selectivity reordering,0.0,0.2,0.2,-0.4,0,1
17,Tile shave only,15.6,12.8,12.9,-69.1,2,1
18,Tile shave,-16.4,-12.8,-12.6,-0.9,-2,1
19,Tile rewriting,-2.3,-2.2,-2.5,-0.1,0,1
