step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,1103640,31510,10969,2325.3,341.5,353
1,Unary simpl.,1102624,31068,10750,2202.7,341.8,353
2,Expr. kind,1102624,31068,10750,2202.7,341.8,353
3,Const. fold,570575,27579,10975,1810.6,342.0,353
4,CF stats,562957,27372,10891,1777.9,345.1,353
5,Simplify expr.,469700,25573,10625,1462.4,333.6,353
6,Strip defaults,458942,25273,10441,1456.7,335.7,353
7,Minify colours,447405,25360,10527,1455.6,349.3,353
8,Strip metadata,447405,25360,10527,1455.6,349.3,353
9,Dead elim.,447405,25360,10527,1455.6,349.3,353
10,DE stats,447405,25360,10527,1455.6,349.3,353
11,Meta. refine.,447405,25360,10527,1455.6,349.3,353
12,MR paint,447405,25360,10527,1455.6,349.3,353
13,MR stats,447405,25360,10527,1455.6,349.3,353
14,Cleanup,447405,25360,10527,1455.6,349.3,353
17,Tile shave only,1103643,31510,10958,592.7,768.8,353
