step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,340250,25563,17335,335.5,568.2,546
1,Unary simpl.,340250,25458,17359,333.6,568.3,546
2,Expr. kind,340250,25458,17359,333.6,568.3,546
3,Const. fold,328360,25109,17222,338.0,556.4,546
4,CF stats,328360,25109,17222,338.0,556.4,546
5,Simplify expr.,318881,24707,17089,312.5,554.7,546
6,Strip defaults,277207,23408,16355,306.2,601.6,546
7,Minify colours,271486,23058,16370,321.7,595.9,546
8,Strip metadata,271275,22976,16312,306.8,595.7,546
9,Dead elim.,271275,22976,16312,306.8,595.7,546
10,DE stats,271275,22976,16312,306.8,595.7,546
11,Meta. refine.,271275,22976,16312,306.8,595.7,546
12,MR paint,271281,22979,16305,313.4,599.2,546
13,MR stats,271281,22979,16305,313.4,599.2,546
14,Cleanup,267350,22322,16070,307.9,630.4,538
15,Layer merge,268652,22433,16113,316.4,639.1,527
