step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,349316,26429,17957,494.5,375.9,562
1,Unary simpl.,349316,26405,17952,487.8,379.8,562
2,Expr. kind,349316,26405,17952,487.8,379.8,562
3,Const. fold,337426,26061,17883,482.9,367.6,562
4,CF stats,337426,26061,17883,482.9,367.6,562
5,Simplify expr.,327894,25654,17703,475.6,377.1,562
6,Strip defaults,285208,24263,16997,466.1,393.9,562
7,Minify colours,279289,23916,16952,487.9,394.8,562
8,Strip metadata,279078,23837,16881,478.4,387.5,562
9,Dead elim.,279078,23837,16881,478.4,387.5,562
10,DE stats,279078,23837,16881,478.4,387.5,562
11,Meta. refine.,279078,23837,16881,478.4,387.5,562
12,MR paint,279054,23839,16903,457.7,411.5,562
13,MR stats,279054,23839,16903,457.7,411.5,562
14,Cleanup,275123,23181,16663,453.8,411.1,554
15,Layer merge,276425,23290,16767,466.0,396.9,543
