step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,48694,4230,3710,473.7,622.4,119
1,Unary simpl.,48686,4244,3673,468.0,620.2,119
2,Expr. kind,48686,4244,3673,468.0,620.2,119
3,Const. fold,48686,4244,3673,468.0,620.2,119
4,CF stats,47924,4228,3662,466.8,623.1,119
5,Simplify expr.,45180,4130,3578,524.8,618.6,119
6,Strip defaults,44630,4081,3538,530.2,622.1,119
7,Minify colours,44403,4012,3509,510.8,621.3,119
8,Strip metadata,44403,4012,3509,510.8,621.3,119
9,Dead elim.,44403,4012,3509,510.8,621.3,119
10,DE stats,44403,4012,3509,510.8,621.3,119
11,Meta. refine.,44403,4012,3509,510.8,621.3,119
12,MR paint,44403,4012,3509,510.8,621.3,119
13,MR stats,44403,4012,3509,510.8,621.3,119
14,Cleanup,44403,4012,3509,510.8,621.3,119
15,Layer merge,44604,4059,3543,524.8,631.6,118
16,Selectivity reorder,44604,4078,3573,525.9,622.1,118
17,Tile shave only,48697,4230,3706,138.3,1580.2,119
18,Tile shave,44607,4076,3569,136.3,1592.0,118
19,Tile rewrite,42856,3979,3452,135.9,1613.8,118
