step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,22336,2653,2298,362.5,1022.2,47
1,Unary simpl.,22336,2658,2315,363.3,1026.3,47
2,Expr. kind,22336,2658,2315,363.3,1026.3,47
3,Const. fold,21209,2620,2275,351.4,1027.8,47
4,CF stats,20839,2607,2268,352.4,973.8,47
5,Simplify expr.,20653,2556,2227,354.7,989.1,47
6,Strip defaults,19227,2478,2163,354.5,1028.9,47
7,Minify colours,18956,2426,2126,350.2,1035.3,47
8,Strip metadata,16475,2151,1871,355.0,1013.5,47
9,Dead elim.,16475,2151,1871,355.0,1013.5,47
10,DE stats,16475,2151,1871,355.0,1013.5,47
11,Meta. refine.,16475,2151,1871,355.0,1013.5,47
12,MR paint,16475,2151,1871,355.0,1013.5,47
13,MR stats,17037,2165,1880,356.2,1061.1,47
14,Cleanup,17009,2162,1885,349.9,1035.6,47
15,Layer merge,16994,2159,1878,353.2,1042.5,47
16,Selectivity reorder,16994,2148,1868,352.7,1052.4,47
17,Tile shave only,22339,2667,2313,118.8,2162.2,47
18,Tile shave,16879,2145,1854,114.1,2296.4,47
19,Tile rewrite,16503,2092,1801,113.7,2470.6,47
