step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,22215,2550,2199,370.9,919.4,48
1,Unary simpl.,22215,2559,2199,370.0,921.0,48
2,Expr. kind,22215,2559,2199,370.0,921.0,48
3,Const. fold,22215,2559,2199,370.0,921.0,48
4,CF stats,21879,2561,2203,370.7,919.6,48
5,Simplify expr.,18719,2443,2106,364.5,941.3,48
6,Strip defaults,18151,2396,2066,357.2,941.9,48
7,Minify colours,17707,2339,2054,365.0,946.0,48
8,Strip metadata,17707,2339,2054,365.0,946.0,48
9,Dead elim.,17426,2253,1967,360.6,979.4,47
10,DE stats,17426,2253,1967,360.6,979.4,47
11,Meta. refine.,17426,2253,1967,360.6,979.4,47
12,MR paint,17391,2251,1968,363.5,977.3,47
13,MR stats,18030,2262,1978,355.0,1008.7,47
14,Cleanup,17396,2192,1921,352.0,1027.2,46
15,Layer merge,17381,2190,1918,359.1,1022.2,46
16,Selectivity reorder,17381,2179,1901,352.5,1015.8,46
17,Tile shave only,22218,2551,2196,125.5,2023.1,48
18,Tile shave,17266,2175,1897,120.9,2253.6,46
19,Tile rewrite,16860,2118,1841,120.5,2280.9,46
