step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,121218,10298,8791,583.3,705.2,233
1,Unary simpl.,121202,10212,8639,538.3,708.2,233
2,Expr. kind,121202,10212,8639,538.3,708.2,233
3,Const. fold,119688,10104,8554,558.9,674.3,233
4,CF stats,112749,9350,7909,535.8,668.2,233
5,Simplify expr.,110881,9287,7870,533.6,671.0,233
6,Strip defaults,103696,8940,7573,526.4,664.5,233
7,Minify colours,100648,8785,7506,525.6,667.4,233
8,Strip metadata,92559,8445,7265,522.9,668.0,233
9,Dead elim.,76836,7609,6537,511.6,721.6,193
10,DE stats,76836,7609,6537,511.6,721.6,193
11,Meta. refine.,76836,7609,6537,511.6,721.6,193
12,MR paint,76984,7649,6530,507.3,719.2,193
13,MR stats,77494,7506,6462,506.4,736.3,193
14,Cleanup,45638,4535,3961,485.7,845.6,122
17,Tile shave only,121230,10299,8751,213.8,1020.3,233
