step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,182263,14352,12134,1336.9,577.0,263
1,Unary simpl.,182123,14171,11996,558.6,586.0,263
2,Expr. kind,182123,14171,11996,558.6,586.0,263
3,Const. fold,180550,14191,11993,580.3,580.2,263
4,CF stats,174437,13436,11334,558.6,583.0,263
5,Simplify expr.,171928,13431,11354,558.5,580.1,263
6,Strip defaults,152560,12880,10896,553.1,592.7,263
7,Minify colours,148636,12706,10836,550.3,591.1,263
8,Strip metadata,137207,11504,9860,547.7,591.2,263
9,Dead elim.,121632,10489,8981,544.0,622.8,228
10,DE stats,121632,10489,8981,544.0,622.8,228
11,Meta. refine.,121632,10489,8981,544.0,622.8,228
12,MR paint,121724,10517,8988,544.3,623.0,228
13,MR stats,121593,10361,8899,538.3,626.5,228
14,Cleanup,121557,10345,8878,534.4,628.3,228
17,Tile shave only,182272,14351,12113,1340.9,628.2,263
