step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,18033,2443,2132,319.7,1098.2,48
1,Unary simpl.,18025,2437,2142,317.8,1093.4,48
2,Expr. kind,18025,2437,2142,317.8,1093.4,48
3,Const. fold,16843,2396,2098,312.0,1068.5,48
4,CF stats,16626,2379,2085,312.6,1065.3,48
5,Simplify expr.,16526,2376,2076,315.5,1063.8,48
6,Strip defaults,15182,2279,2004,312.8,1089.4,48
7,Minify colours,14839,2225,1984,310.4,1092.7,48
8,Strip metadata,14416,2091,1856,312.2,1093.2,48
9,Dead elim.,14416,2091,1856,312.2,1093.2,48
10,DE stats,14416,2091,1856,312.2,1093.2,48
11,Meta. refine.,14416,2091,1856,312.2,1093.2,48
12,MR paint,14481,2099,1860,315.0,1096.9,48
13,MR stats,15446,2104,1866,310.3,1130.8,48
14,Cleanup,15432,2101,1862,309.9,1127.4,48
15,Layer merge,15443,2125,1886,310.8,1140.0,47
16,Selectivity reorder,15443,2138,1887,313.6,1139.2,47
17,Tile shave only,18036,2456,2151,120.4,2232.9,48
18,Tile shave,15288,2141,1894,117.6,2381.5,47
19,Tile rewrite,14856,2080,1840,118.1,2461.0,47
