step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,43060,3878,3406,466.5,662.5,111
1,Unary simpl.,43052,3881,3356,465.5,664.0,111
2,Expr. kind,43052,3881,3356,465.5,664.0,111
3,Const. fold,43052,3881,3356,465.5,664.0,111
4,CF stats,42002,3854,3332,459.6,665.1,111
5,Simplify expr.,40519,3793,3290,524.9,645.3,111
6,Strip defaults,40289,3752,3254,524.1,644.8,111
7,Minify colours,40056,3651,3199,523.7,642.0,111
8,Strip metadata,40056,3651,3199,523.7,642.0,111
9,Dead elim.,40056,3651,3199,523.7,642.0,111
10,DE stats,40056,3651,3199,523.7,642.0,111
11,Meta. refine.,40056,3651,3199,523.7,642.0,111
12,MR paint,40056,3651,3199,523.7,642.0,111
13,MR stats,40056,3651,3199,523.7,642.0,111
14,Cleanup,40056,3651,3199,523.7,642.0,111
15,Layer merge,39684,3687,3234,523.2,664.5,107
16,Selectivity reorder,39684,3693,3243,513.4,665.7,107
17,Tile shave only,43063,3878,3399,137.4,1592.3,111
18,Tile shave,39687,3693,3245,133.9,1623.3,107
19,Tile rewrite,38265,3600,3157,133.7,1655.2,107
