step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,57412,4747,4192,504.8,667.9,128
1,Unary simpl.,57404,4773,4143,495.9,667.2,128
2,Expr. kind,57404,4773,4143,495.9,667.2,128
3,Const. fold,55988,4681,4076,536.5,673.2,128
4,CF stats,55412,4650,4033,521.4,663.9,128
5,Simplify expr.,54961,4651,4028,530.3,663.6,128
6,Strip defaults,52356,4477,3866,536.1,683.8,128
7,Minify colours,52088,4395,3825,531.9,682.0,128
8,Strip metadata,46871,4033,3545,530.6,684.3,128
9,Dead elim.,45925,3980,3495,539.3,682.0,126
10,DE stats,45925,3980,3495,539.3,682.0,126
11,Meta. refine.,45925,3980,3495,539.3,682.0,126
12,MR paint,46381,4031,3524,543.8,687.2,126
13,MR stats,47808,3988,3461,529.4,714.5,126
14,Cleanup,47758,3969,3452,536.1,716.9,126
15,Layer merge,47754,3997,3473,531.7,739.4,125
16,Selectivity reorder,47754,4011,3523,531.8,729.2,125
17,Tile shave only,57415,4762,4203,137.5,1602.3,128
18,Tile shave,47367,4001,3519,132.6,1728.8,125
19,Tile rewrite,45482,3896,3412,132.7,1738.3,125
