step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,36626,3665,3222,472.7,594.4,105
1,Unary simpl.,36626,3647,3157,462.1,593.2,105
2,Expr. kind,36626,3647,3157,462.1,593.2,105
3,Const. fold,36243,3620,3132,517.5,569.6,105
4,CF stats,35756,3589,3116,520.7,564.0,105
5,Simplify expr.,35390,3564,3101,508.6,569.3,105
6,Strip defaults,35180,3506,3052,513.3,577.3,105
7,Minify colours,34955,3411,2998,514.1,570.3,105
8,Strip metadata,34798,3325,2930,521.3,564.5,105
9,Dead elim.,34152,3298,2901,509.2,574.1,103
10,DE stats,34152,3298,2901,509.2,574.1,103
11,Meta. refine.,34152,3298,2901,509.2,574.1,103
12,MR paint,34521,3337,2933,513.1,586.1,103
13,MR stats,35303,3334,2916,514.0,622.7,103
14,Cleanup,35247,3331,2914,506.4,624.3,103
15,Layer merge,34682,3358,2943,504.1,639.0,99
16,Selectivity reorder,34682,3367,2953,507.0,637.8,99
17,Tile shave only,36629,3666,3217,135.6,1704.7,105
18,Tile shave,34389,3355,2943,134.0,1767.4,99
19,Tile rewrite,33018,3241,2843,132.2,1784.8,99
