step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,25134,2731,2380,404.4,865.5,55
1,Unary simpl.,25126,2732,2359,383.0,859.9,55
2,Expr. kind,25126,2732,2359,383.0,859.9,55
3,Const. fold,25126,2732,2359,383.0,859.9,55
4,CF stats,24407,2721,2351,387.8,860.0,55
5,Simplify expr.,21518,2600,2246,372.6,849.9,55
6,Strip defaults,20993,2546,2194,373.9,841.8,55
7,Minify colours,20720,2490,2156,375.0,840.3,55
8,Strip metadata,20720,2490,2156,375.0,840.3,55
9,Dead elim.,20720,2490,2156,375.0,840.3,55
10,DE stats,20720,2490,2156,375.0,840.3,55
11,Meta. refine.,20720,2490,2156,375.0,840.3,55
12,MR paint,20720,2490,2156,375.0,840.3,55
13,MR stats,20720,2490,2156,375.0,840.3,55
14,Cleanup,20720,2490,2156,375.0,840.3,55
15,Layer merge,20720,2490,2156,375.0,840.3,55
16,Selectivity reorder,20720,2486,2161,372.1,841.4,55
17,Tile shave only,25137,2729,2372,123.5,2055.1,55
18,Tile shave,20723,2487,2158,120.2,2091.4,55
19,Tile rewrite,20225,2455,2113,119.3,2252.7,55
