step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,47554,4443,3901,476.4,726.3,110
1,Unary simpl.,47546,4443,3870,442.6,727.9,110
2,Expr. kind,47546,4443,3870,442.6,727.9,110
3,Const. fold,46461,4380,3829,478.6,738.9,110
4,CF stats,45223,4333,3773,478.5,738.1,110
5,Simplify expr.,44778,4315,3767,478.2,739.8,110
6,Strip defaults,42716,4132,3608,474.6,756.9,110
7,Minify colours,42413,4052,3560,468.6,759.6,110
8,Strip metadata,42342,4014,3522,468.7,755.6,110
9,Dead elim.,40067,3868,3392,470.4,758.1,103
10,DE stats,40067,3868,3392,470.4,758.1,103
11,Meta. refine.,40067,3868,3392,470.4,758.1,103
12,MR paint,40357,3906,3406,495.2,777.6,103
13,MR stats,41408,3864,3352,498.3,784.1,103
14,Cleanup,41344,3842,3334,493.3,784.4,103
15,Layer merge,41306,3886,3366,501.1,779.0,102
16,Selectivity reorder,41306,3897,3381,491.5,779.8,102
17,Tile shave only,47557,4454,3908,140.4,1576.4,110
18,Tile shave,41013,3891,3398,134.6,1713.4,102
19,Tile rewrite,39923,3817,3330,133.4,1840.7,102
