step,pass,rawB,gzipB,brotliB,loadMs,fps,layers
0,Baseline,16845,2434,2116,343.6,1273.2,37
1,Unary simpl.,16844,2461,2125,342.8,1266.1,37
2,Expr. kind,16844,2461,2125,342.8,1266.1,37
3,Const. fold,16408,2429,2108,338.1,1247.0,37
4,CF stats,16206,2433,2110,334.4,1243.1,37
5,Simplify expr.,15987,2412,2097,340.7,1242.2,37
6,Strip defaults,14320,2228,1942,335.4,1284.4,37
7,Minify colours,13638,2182,1912,336.7,1281.9,37
8,Strip metadata,12922,2027,1759,334.8,1280.2,37
9,Dead elim.,12922,2027,1759,334.8,1280.2,37
10,DE stats,12922,2027,1759,334.8,1280.2,37
11,Meta. refine.,12922,2027,1759,334.8,1280.2,37
12,MR paint,12922,2027,1759,334.8,1280.2,37
13,MR stats,13070,1998,1742,336.7,1348.5,37
14,Cleanup,13034,1981,1731,337.2,1346.1,37
15,Layer merge,12686,1990,1735,337.7,1358.8,35
16,Selectivity reorder,12686,1989,1737,333.2,1374.8,35
17,Tile shave only,16848,2447,2137,125.2,2292.0,37
18,Tile shave,12615,1991,1739,122.4,2469.3,35
19,Tile rewrite,12321,1939,1684,121.8,2540.8,35
