style,baseline_tile_bytes,shaving_only_tile_bytes,combined_tile_bytes,shaving_only_red_pct,combined_red_pct,extra_pct
bright,3247271936,2634977280,2631229440,18.856,18.971,0.115
dark-matter,3247271936,2298560512,2298519552,29.216,29.217,0.001
fiord,3247271936,2385956864,2370899968,26.524,26.988,0.464
klokan-basic,3247271936,2438512640,2438344704,24.906,24.911,0.005
liberty,3247271936,2389114880,2385833984,26.427,26.528,0.101
osm-bright,3247271936,2671407104,2668322816,17.734,17.829,0.095
osm-liberty,3247271936,2411290624,2411462656,25.744,25.739,-0.005
positron,3247271936,2355007488,2347810816,27.477,27.699,0.222
stadia-outdoors,3247271936,2578857984,2576486400,20.584,20.657,0.073
toner,3247271936,1890095104,1889120256,41.794,41.824,0.030
