style,scenario,baseline_median_ms,style_only_median_ms,shaving_only_median_ms,combined_median_ms,style_only_red_pct,shaving_only_red_pct,combined_red_pct,interaction_pct,super_additive
bright,bright/amazon-spiral,244.300,254.600,134.200,133.200,-4.216,45.068,45.477,4.625,true
bright,bright/beijing-pansweep,670.800,671.400,135.200,135.300,-0.089,79.845,79.830,0.075,true
bright,bright/blackforest-pansweep,336.100,338.600,339.400,345.600,-0.744,-0.982,-2.827,-1.101,false
bright,bright/blackforest-zigzag,389.000,341.400,340.000,342.900,12.237,12.596,11.851,-12.982,false
bright,bright/cairo-zigzag,522.900,622.400,140.500,137.500,-19.028,73.131,73.704,19.602,true
bright,bright/munich-spiral,448.200,495.600,472.100,509.300,-10.576,-5.332,-13.632,2.276,true
bright,bright/munich-zigzag,446.500,478.900,460.900,506.100,-7.256,-3.225,-13.348,-2.867,false
bright,bright/newyork-bearingspin,585.900,667.800,142.800,138.500,-13.978,75.627,76.361,14.712,true
bright,bright/newyork-zoomdrill,592.500,656.300,140.000,136.000,-10.768,76.371,77.046,11.443,true
bright,bright/paris-zigzag,549.100,610.600,134.100,132.300,-11.200,75.578,75.906,11.528,true
bright,bright/paris-zoomdrill,550.500,609.500,133.000,132.800,-10.718,75.840,75.876,10.754,true
bright,bright/rome-spiral,484.200,564.000,135.100,132.800,-16.481,72.098,72.573,16.956,true
bright,bright/sahara-pansweep,179.400,190.000,141.200,140.300,-5.909,21.293,21.795,6.410,true
bright,bright/stockholm-bearingspin,407.800,425.700,140.000,138.000,-4.389,65.669,66.160,4.880,true
bright,bright/swiss-zoomdrill,346.000,350.900,134.100,131.500,-1.416,61.243,61.994,2.168,true
bright,bright/tokyo-spiral,600.800,662.600,135.300,133.400,-10.286,77.480,77.796,10.603,true
bright,bright/tokyo-zigzag,600.900,680.800,134.100,134.600,-13.297,77.683,77.600,13.214,true
bright,bright/venice-spiral,295.900,320.400,133.100,134.800,-8.280,55.019,54.444,7.705,true
dark-matter,dark-matter/amazon-spiral,206.500,205.600,115.100,111.900,0.436,44.262,45.811,1.114,true
dark-matter,dark-matter/beijing-pansweep,527.300,526.900,115.300,111.300,0.076,78.134,78.892,0.683,true
dark-matter,dark-matter/blackforest-pansweep,272.300,264.800,297.700,287.300,2.754,-9.328,-5.509,1.065,true
dark-matter,dark-matter/blackforest-zigzag,267.700,264.600,293.900,284.300,1.158,-9.787,-6.201,2.428,true
dark-matter,dark-matter/cairo-zigzag,425.600,417.100,118.100,115.300,1.997,72.251,72.909,-1.339,false
dark-matter,dark-matter/munich-spiral,341.800,332.000,359.200,359.700,2.867,-5.091,-5.237,-3.013,false
dark-matter,dark-matter/munich-zigzag,341.600,329.000,364.700,358.700,3.689,-6.762,-5.006,-1.932,false
dark-matter,dark-matter/newyork-bearingspin,396.400,386.200,119.600,112.200,2.573,69.828,71.695,-0.706,false
dark-matter,dark-matter/newyork-zoomdrill,393.700,383.000,120.000,114.200,2.718,69.520,70.993,-1.245,false
dark-matter,dark-matter/paris-zigzag,412.200,394.600,125.700,122.400,4.270,69.505,70.306,-3.469,false
dark-matter,dark-matter/paris-zoomdrill,371.400,360.900,115.300,109.400,2.827,68.955,70.544,-1.239,false
dark-matter,dark-matter/rome-spiral,321.700,311.200,116.400,110.600,3.264,63.817,65.620,-1.461,false
dark-matter,dark-matter/sahara-pansweep,207.900,204.400,119.900,114.900,1.684,42.328,44.733,0.722,true
dark-matter,dark-matter/stockholm-bearingspin,376.200,368.100,117.600,113.700,2.153,68.740,69.777,-1.116,false
dark-matter,dark-matter/swiss-zoomdrill,295.400,288.800,115.200,110.600,2.234,61.002,62.559,-0.677,false
dark-matter,dark-matter/tokyo-spiral,435.100,424.600,116.700,109.200,2.413,73.179,74.902,-0.689,false
dark-matter,dark-matter/tokyo-zigzag,433.800,424.200,116.100,111.200,2.213,73.237,74.366,-1.083,false
dark-matter,dark-matter/venice-spiral,238.200,236.700,114.900,108.500,0.630,51.763,54.450,2.057,true
fiord,fiord/amazon-spiral,215.200,211.700,125.200,118.000,1.626,41.822,45.167,1.719,true
