zoom,tiles,mvtBytes,mvtShavedBytes,mltJavaBytes,mltRustBytes,mltShavedBytes,deltaPct,isTotal
0,1,8280,6452,18198,8413,6795,-17.9,0
1,1,5475,3762,9151,5436,3868,-29.4,0
2,1,12771,6573,18154,11691,6667,-47.8,0
3,1,15371,6691,19482,13382,6818,-55.6,0
4,1,39235,30457,54204,37134,30207,-23.0,0
5,4,160983,92617,157841,141313,92518,-42.5,0
6,6,432021,263507,480570,381648,262657,-39.2,0
7,20,1882248,1334058,2673332,1732678,1330154,-29.3,0
8,70,6332618,4184450,9172932,5779299,4148701,-34.5,0
9,255,22069033,13691026,29889831,19548296,13377609,-39.4,0
10,894,42357413,27076086,55483947,36777888,25967335,-38.7,0
11,3278,90112154,54587574,116703996,78236272,53292841,-40.9,0
12,12508,223558073,143458600,284477566,199797908,137430504,-38.5,0
13,48453,573369020,416994915,756995961,523420056,394610817,-31.2,0
14,191095,2115531516,1497521829,2288028971,1828902088,1349070403,-36.2,0
Total,256588,3075886211,2159258597,3544184136,2694793502,1979637894,-35.6,1
